Site Name,Link,Category,Languages & Frameworks,Comments
Setting up Windows Subsystem for Linux for Development,https://github.com/micahshute/wsl-setup,documentation,,Instructions on how to set up a development environment on Windows Subsystem for Linux
Flatiron's Online Software Engineering course Windows 10 Setup guide,https://gist.github.com/arye-dov-eidelman/8822a06eca6806fdac55953760aac36e,Git Gist,,A guide to set up your windows 10 Computer for Flatiron's Online Software Engineering course. Using Ubuntu running on the Windows Subsystem for Linux.
