Name,Link,Comments
Career Hacking,https://drive.google.com/drive/folders/0BxTfGFwB1IsuVXo2VlVNM2ZROTg?usp=sharing,Curated by a Flatiron student from 2016
Hiring Without Whiteboards,https://airtable.com/shr3eGPDm3wGjT2gA/tbluCbToxQ2knSLhh/viwmFR062GOjG4cjs?blocks=hide,Companies that don't have a broken hiring process
Karat,https://karat.com/,Technical interviewing for software-driven companies
Pramp,https://www.pramp.com/#/,Practice mock interviews and coding problems
Tech Interview Resources,https://goo.gl/CUqmU2,Curated by a Flatiron student from 2016
Big O Flashcards,https://quizlet.com/433739803/big-0-notation-diagram/,Flashcards created in Quizlet
Web Skills Tracker,https://andreasbm.github.io/web-skills/,Web Skills is a trackable visual overview of skills a developer should know.
Big O Cheat Sheet,https://www.bigocheatsheet.com/,This webpage covers the space and time Big-O complexities of common algorithms used in Computer Science.
