Name,Link,Comments
Embracing Discomfort,https://register.gotowebinar.com/recording/8779698606391747853,Inspiring webinar by Avi Flombaum. Must be watched when you feel that your work is not worth it. Really guides an understanding of the swamp of despair and why change is necessary. You have to register on the website to watch it.
,,
