Topic,Site Name,Link,Flatiron Section,Category,Languages & Frameworks,Comments
Ruby,OverAPI,http://overapi.com/ruby,,cheat sheet,Ruby,A comprehensive Ruby cheat sheet
Ruby,RubyKoans,http://rubykoans.com/,Ruby,free learning,Ruby,Learn Ruby and testing through zen-like koans
Ruby,Ruby Notes for Professionals book,https://books.goalkicker.com/RubyBook/,,book,Ruby,Free book on Ruby compiled by the people at Stack Overflow
Ruby,RubyGuides,https://www.rubyguides.com/,,free learning,Ruby,Guides on various Ruby topics
Ruby Docs,Ruby Lang,https://docs.ruby-lang.org/en/2.5.0/,Intro to Ruby Development,documentation,Ruby,
Ruby Drills,Ruby Drills,https://www.cs.cmu.edu/~15110-f12/drills.html,,practice,Ruby,Test your knowledge with some 100 drills
Ruby exercises and solutions,Launch School,https://launchschool.com/books/ruby/read/intro_exercises,,practice,Ruby,free resources here besides the paid subscriptions
Ruby Methods,w3resource,https://www.w3resource.com/ruby/ruby-methods.php,,documentation,Ruby,Ruby methods in detail
Ruby on Rails errors,Top Ten Ruby on Rails Errors and How To Avoid Them,https://rollbar.com/blog/top-10-ruby-on-rails-errors/,,blog,"Ruby, Rails",Top Ten Ruby on Rails Errors and How To Avoid Them
Ruby Programming,The Pragmatic Studio,https://pragmaticstudio.com/ruby,,free learning,Ruby,Free tutorials available
Ruby Ranges,rubylearning.com,http://rubylearning.com/satishtalim/ruby_ranges.html,,documentation,Ruby,Short - all about ranges
Ruby Ranges,rubyguides.com,https://www.rubyguides.com/2016/06/ruby-ranges-how-do-they-work/,,documentation,Ruby,"How to create a Ruby range, use the step & include? methods in Ruby, and how ranges work under the hood"
Ruby Ranges,techotopia.com,https://www.techotopia.com/index.php/Ruby_Ranges,,documentation,Ruby,All about ranges
Ruby Ranges,tutorialspoint.com,https://www.tutorialspoint.com/ruby/ruby_ranges.htm,,documentation,Ruby,"More comprehensive, all about ranges"
Ruby Variables,zetcode.com,http://zetcode.com/lang/rubytutorial/variables/,,documentation,Ruby,Examines variables in detail
Safe navigation operator,,https://www.competa.com/blog/ruby-safe-navigation-operator-methods/,,blog,Ruby,Explanation of Ruby's safe navigation operator
Scraping  ,The Bastards Book of Ruby,http://ruby.bastardsbook.com/chapters/html-parsing/,OO - Scraping,book,"Ruby, Nokogiri, CSS",referenced in Flatiron scraping lesson https://learn.co/tracks/online-software-engineering-full-time/object-oriented-ruby/scraping/scraping
Self,Yehuda Katz,https://yehudakatz.com/2009/11/15/metaprogramming-in-ruby-its-all-about-the-self/,Object Oriented Ruby,"blog post, documentation",Ruby,Metaprogramming in Ruby
Shotgun,,https://superuser.com/questions/609794/kill-what-ever-is-running-on-port-8080,Sinatra,blog,"Ruby, Sinatra",Kill your shotgun session if it gets stuck open
Sinatra,Sinatra,http://sinatrarb.com/,Sinatra,documentation,"Ruby, Sinatra",Sinatra is a DSL for quickly creating web applications in Ruby with minimal effort.
Sinatra Recipes,Sinatra Recipes,http://recipes.sinatrarb.com/,Sinatra,documentation,"Ruby, Sinatra",Community contributed recipes and techniques.
Split Method,ruby-doc.org,https://ruby-doc.org/core-2.6.3/String.html#method-i-split,,documentation,Ruby,"Divides str into substrings based on a delimiter, returning an array of these substrings."
String,ruby-doc,https://ruby-doc.org/core-2.1.4/String.html,,documentation,Ruby,Intro to string
Symbol,ruby-doc.org,https://ruby-doc.org/core-2.6.3/Symbol.html,,documentation,Ruby,Class: symbol definition w/ examples
Testing,Capybara,http://teamcapybara.github.io/capybara/,Sinatra,documentation,"Ruby, Sinatra",Acceptance test framework for web applications
Truthy and Falsey,Github,https://gist.github.com/jfarmer/2647362,,documentation,Ruby,Truthy and Falsey intro
Version management,RVM,https://rvm.io/,,"documentation, gem","Ruby, RVM",Ruby Version Manager (RVM) is a gem that manages different versions of Ruby and can create gemsets per version
version manager,rbenv,https://github.com/rbenv/rbenv,,"documentation, gem",Ruby,Groom your app’s Ruby environment
Website Templates,Devdap,https://devdap.com/free-ruby-on-rails-themes/,,tool – templates,"Ruby, Rails","Open Source Ruby On Rails free Website Templates, Ruby On Rails Themes developed by devdap with multiple versions Under MIT License."
