Topic,Site Name,Link,Category,Languages & Frameworks,Comments
Intro to CS,Harvard,http://cs50.tv/2017/fall/,computer science,,Free Harvard course: Introduction to Computer Science I
HTTP Status Codes,Learn HTTP,http://www.tutorialspoint.com/http/http_status_codes.htm,free learning,,
Algorithms ,Algorithm Notes for Professionals book,https://books.goalkicker.com/AlgorithmsBook/,book,,Free book on algorithms compiled by the people at Stack Overflow
Cloud computing,NIST,https://nvlpubs.nist.gov/nistpubs/legacy/sp/nistspecialpublication800-145.pdf,the cloud,,The NIST Definition of Cloud Computing
Computer science,Teach Yourself CS,https://teachyourselfcs.com/,computer science,,Give yourself a world-class CS education without investing years and a small fortune in a degree program
Intro concepts,,https://textbooks.opensuny.org/the-missing-link-an-introduction-to-web-development-and-programming/,"web development, book",,The Missing Link: An Introduction to Web Development and Programming (free textbook download)
Computer science,ArsDigita University,http://aduni.org,free learning,,Free online computer science curriculum developed years ago by a team at MIT
Cloud computing,,https://www.cheatography.com/davidpol/cheat-sheets/chou-s-the-5-3-2-principle-of-cloud-computing/,the cloud,,Chou's The 5-3-2 Principle of Cloud Computing Cheat Sheet
